Gene ID;source_id;Organism;Product Description;Gene Name or Symbol;Computed GO Components;Computed GO Function IDs;Computed GO Functions;Computed GO Process IDs;Computed GO Processes;Curated GO Component IDs;Curated GO Components;Curated GO Function IDs;Curated GO Functions;Curated GO Process IDs;Curated GO Processes;Computed GO Component IDs
PF3D7_1242200;PF3D7_1242200.1;Plasmodium falciparum 3D7;queuine tRNA-ribosyltransferase, putative;TGT;null;GO:0016763;transferase activity, transferring pentosyl groups;GO:0006400;tRNA modification;GO:0020011;apicoplast;GO:0008479;queuine tRNA-ribosyltransferase activity;GO:0008616;queuosine biosynthetic process;null
PF3D7_1243100;PF3D7_1243100.1;Plasmodium falciparum 3D7;zinc finger protein, putative;null;intracellular;"GO:0003677;GO:0003676;GO:0008270";"DNA binding;nucleic acid binding;zinc ion binding";null;null;GO:0005634;nucleus;null;null;null;null;GO:0005622
PF3D7_1243500;PF3D7_1243500.1;Plasmodium falciparum 3D7;vacuolar-sorting protein SNF7, putative;SNF7;null;null;null;GO:0007034;vacuolar transport;null;null;null;null;null;null;null
PF3D7_1243800;PF3D7_1243800.1;Plasmodium falciparum 3D7;WD repeat-containing protein 82, putative;WDR82;null;GO:0005515;protein binding;null;null;"GO:0000785;GO:0035097";"chromatin;histone methyltransferase complex";null;null;GO:0051568;histone H3-K4 methylation;null
PF3D7_1244600;PF3D7_1244600.1;Plasmodium falciparum 3D7;ADP-ribosylation factor GTPase-activating protein 1;ARFGAP1;null;GO:0005096;GTPase activator activity;null;null;GO:0005829;cytosol;GO:0005096;GTPase activator activity;null;null;null
PF3D7_1245400;PF3D7_1245400.1;Plasmodium falciparum 3D7;50S ribosomal protein L3, mitochondrial, putative;null;"intracellular;ribosome";GO:0003735;structural constituent of ribosome;GO:0006412;translation;GO:0005739;mitochondrion;GO:0003735;structural constituent of ribosome;GO:0006412;translation;"GO:0005622;GO:0005840"
PF3D7_1245700;PF3D7_1245700.1;Plasmodium falciparum 3D7;non-coding RNA;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_1245800;PF3D7_1245800.1;Plasmodium falciparum 3D7;epsin-like protein, putative;EpsL;null;null;null;null;null;GO:0005802;trans-Golgi network;GO:0035650;AP-1 adaptor complex binding;null;null;null
PF3D7_1246100;PF3D7_1246100.1;Plasmodium falciparum 3D7;delta-aminolevulinic acid synthetase;ALAS;null;"GO:0003870;GO:0030170;GO:0016740";"5-aminolevulinate synthase activity;pyridoxal phosphate binding;transferase activity";"GO:0009058;GO:0033014";"biosynthetic process;tetrapyrrole biosynthetic process";GO:0005739;mitochondrion;GO:0003870;5-aminolevulinate synthase activity;GO:0006783;heme biosynthetic process;null
PF3D7_1246300;PF3D7_1246300.1;Plasmodium falciparum 3D7;protein KIC4;KIC4;null;null;null;null;null;GO:0005634;nucleus;null;null;null;null;null
PF3D7_1246400;PF3D7_1246400.1;Plasmodium falciparum 3D7;myosin A-tail interacting protein;MTIP;null;GO:0005509;calcium ion binding;null;null;GO:0070258;inner membrane pellicle complex;GO:0005515;protein binding;null;null;null
PF3D7_1247800;PF3D7_1247800.1;Plasmodium falciparum 3D7;dipeptidyl aminopeptidase 2;DPAP2;null;GO:0008234;cysteine-type peptidase activity;GO:0006508;proteolysis;"GO:0071944;GO:0005737;GO:0044310";"cell periphery;cytoplasm;osmiophilic body";GO:0008239;dipeptidyl-peptidase activity;"GO:0035891;GO:0006508";"exit from host cell;proteolysis";null
PF3D7_1247900;PF3D7_1247900.1;Plasmodium falciparum 3D7;U3 small nucleolar RNA-associated protein 11, putative;UTP11;small-subunit processome;null;null;GO:0006364;rRNA processing;null;null;null;null;null;null;GO:0032040
PF3D7_1248900;PF3D7_1248900.1;Plasmodium falciparum 3D7;26S protease regulatory subunit 8, putative;RPT6;cytoplasm;"GO:0005524;GO:0016787";"ATP binding;hydrolase activity";GO:0030163;protein catabolic process;"GO:0005634;GO:0008540";"nucleus;proteasome regulatory particle, base subcomplex";null;null;"GO:0070682;GO:0043161";"proteasome regulatory particle assembly;proteasome-mediated ubiquitin-dependent protein catabolic process";GO:0005737
PF3D7_1249200;PF3D7_1249200.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_1249400;PF3D7_1249400.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_1249700;PF3D7_1249700.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;membrane;"GO:0005524;GO:0016740";"ATP binding;transferase activity";null;null;null;null;null;null;null;null;GO:0016020
PF3D7_1249900;PF3D7_1249900.1;Plasmodium falciparum 3D7;ribosomal RNA small subunit methyltransferase A2, putative;KsgA2;null;"GO:0000179;GO:0008649";"rRNA (adenine-N6,N6-)-dimethyltransferase activity;rRNA methyltransferase activity";"GO:0000154;GO:0006364";"rRNA modification;rRNA processing";GO:0020011;apicoplast;"GO:0003677;GO:0008649";"DNA binding;rRNA methyltransferase activity";null;null;null
PF3D7_1250200;PF3D7_1250200.1;Plasmodium falciparum 3D7;CSC1-like protein, putative;null;"integral component of membrane;membrane";null;null;null;null;null;null;null;null;null;null;"GO:0016021;GO:0016020"
PF3D7_1250300;PF3D7_1250300.1;Plasmodium falciparum 3D7;vacuolar protein sorting-associated protein 26, putative;VPS26;null;null;null;null;null;GO:0030904;retromer complex;"GO:0005515;GO:0008565";"protein binding;protein transporter activity";GO:0042147;retrograde transport, endosome to Golgi;null
PF3D7_1250600;PF3D7_1250600.1;Plasmodium falciparum 3D7;translation initiation factor eIF-2B subunit beta, putative;null;null;null;null;GO:0044237;cellular metabolic process;GO:0005851;eukaryotic translation initiation factor 2B complex;GO:0003743;translation initiation factor activity;GO:0006446;regulation of translational initiation;null
PF3D7_1251200;PF3D7_1251200.1;Plasmodium falciparum 3D7;coronin;null;null;GO:0005515;protein binding;null;null;"GO:0005634;GO:0020039";"nucleus;pellicle";GO:0051015;actin filament binding;"GO:0048870;GO:0000910;GO:0007017;GO:0006928;GO:0042493";"cell motility;cytokinesis;microtubule-based process;movement of cell or subcellular component;response to drug";null
PF3D7_1251300;PF3D7_1251300.1;Plasmodium falciparum 3D7;thymidylate kinase;TMK;null;"GO:0005524;GO:0004798";"ATP binding;thymidylate kinase activity";GO:0006233;dTDP biosynthetic process;null;null;GO:0004798;thymidylate kinase activity;"GO:0006235;GO:0006227;GO:0042493";"dTTP biosynthetic process;dUDP biosynthetic process;response to drug";null
PF3D7_1251400;PF3D7_1251400.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;membrane;null;null;null;null;null;null;null;null;null;null;GO:0016020
PF3D7_1251600;PF3D7_1251600.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;null;GO:0000166;nucleotide binding;null;null;GO:0005634;nucleus;null;null;null;null;null
PF3D7_1251700;PF3D7_1251700.1;Plasmodium falciparum 3D7;tryptophan--tRNA ligase;aTrpRS;null;"GO:0005524;GO:0004812;GO:0000166";"ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding";GO:0006418;tRNA aminoacylation for protein translation;GO:0020011;apicoplast;"GO:0005524;GO:0004830";"ATP binding;tryptophan-tRNA ligase activity";"GO:0042493;GO:0006436";"response to drug;tryptophanyl-tRNA aminoacylation";null
PF3D7_1252100;PF3D7_1252100.1;Plasmodium falciparum 3D7;rhoptry neck protein 3;3,00 RON;null;null;null;null;null;"GO:0009986;GO:1903561;GO:0005634;GO:0020008;GO:0020003";"cell surface;extracellular vesicle;nucleus;rhoptry;symbiont-containing vacuole";"GO:0046812;GO:0005515";"host cell surface binding;protein binding";"GO:0044409;GO:0030581";"entry into host;symbiont intracellular protein transport in host";null
PF3D7_1252300;PF3D7_1252300.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;null;null;null;null;null;GO:0020036;Maurer's cleft;null;null;null;null;null
PF3D7_1252900;PF3D7_1252900.1;Plasmodium falciparum 3D7;Plasmodium exported protein, unknown function;null;null;null;null;null;null;"GO:0020036;GO:0043657";"Maurer's cleft;host cell";null;null;null;null;null
PF3D7_1253000;PF3D7_1253000.1;Plasmodium falciparum 3D7;gametocyte erythrocyte cytosolic protein;GECO;null;null;null;null;null;GO:0030430;host cell cytoplasm;GO:0051082;unfolded protein binding;GO:0006457;protein folding;null
PF3D7_1253100;PF3D7_1253100.1;Plasmodium falciparum 3D7;Plasmodium exported protein (PHISTa), unknown function;null;membrane;null;null;null;null;"GO:0020036;GO:0043657";"Maurer's cleft;host cell";null;null;null;null;GO:0016020
PF3D7_1253400;PF3D7_1253400.1;Plasmodium falciparum 3D7;acyl-CoA synthetase;ACS3;null;GO:0003824;catalytic activity;GO:0008152;metabolic process;"GO:0020036;GO:0030430";"Maurer's cleft;host cell cytoplasm";"GO:0030506;GO:0004467";"ankyrin binding;long-chain fatty acid-CoA ligase activity";"GO:0006631;GO:0006810";"fatty acid metabolic process;transport";null
PF3D7_1253700;PF3D7_1253700.1;Plasmodium falciparum 3D7;rifin;RIF;null;null;null;null;null;"GO:0020036;GO:0020002;GO:0020003";"Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole";null;null;"GO:0020033;GO:0020035;GO:0020013";"antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation";null
PF3D7_1254900;PF3D7_1254900.1;Plasmodium falciparum 3D7;Plasmodium exported protein, unknown function, fragment;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_1300600;PF3D7_1300600.1;Plasmodium falciparum 3D7;rifin;RIF;membrane;null;null;null;null;GO:0020002;host cell plasma membrane;null;null;GO:0020033;antigenic variation;GO:0016020
PF3D7_1301000;PF3D7_1301000.1;Plasmodium falciparum 3D7;rifin, pseudogene;RIF;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_1301400;PF3D7_1301400.1;Plasmodium falciparum 3D7;Plasmodium exported protein (hyp12), unknown function;HYP12;null;null;null;null;null;"GO:0020036;GO:0020020;GO:0030430";"Maurer's cleft;food vacuole;host cell cytoplasm";null;null;null;null;null
PF3D7_1302000;PF3D7_1302000.1;Plasmodium falciparum 3D7;EMP1-trafficking protein;PTP6;null;null;null;null;null;GO:0020036;Maurer's cleft;null;null;null;null;null
PF3D7_1302300;PF3D7_1302300.1;Plasmodium falciparum 3D7;Plasmodium exported protein, unknown function;null;null;null;null;null;null;GO:0043657;host cell;null;null;null;null;null
PF3D7_1302500;PF3D7_1302500.1;Plasmodium falciparum 3D7;AAA domain-containing protein, putative;null;cytoplasm;"GO:0005524;GO:0003677;GO:0003723;GO:0004386;GO:0016787;GO:0008270";"ATP binding;DNA binding;RNA binding;helicase activity;hydrolase activity;zinc ion binding";null;null;null;null;null;null;null;null;GO:0005737
PF3D7_1302800;PF3D7_1302800.1;Plasmodium falciparum 3D7;40S ribosomal protein S7, putative;null;"intracellular;ribosome";GO:0003735;structural constituent of ribosome;GO:0006412;translation;"GO:0022627;GO:0005634";"cytosolic small ribosomal subunit;nucleus";GO:0003735;structural constituent of ribosome;GO:0006412;translation;"GO:0005622;GO:0005840"
PF3D7_1303200;PF3D7_1303200.2;Plasmodium falciparum 3D7;SNARE protein, putative;VAMP8;integral component of membrane;null;null;GO:0016192;vesicle-mediated transport;null;null;null;null;null;null;GO:0016021
PF3D7_1009200;PF3D7_1009200.1;Plasmodium falciparum 3D7;ribonuclease, putative;null;integrator complex;null;null;GO:0016180;snRNA processing;null;null;null;null;null;null;GO:0032039
PF3D7_1009900;PF3D7_1009900.1;Plasmodium falciparum 3D7;heptatricopeptide repeat-containing protein, putative;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_1010200;PF3D7_1010200.1;Plasmodium falciparum 3D7;DNA2/NAM7 helicase, putative;null;cytoplasm;"GO:0005524;GO:0003677;GO:0003723;GO:0004386;GO:0016787;GO:0008270";"ATP binding;DNA binding;RNA binding;helicase activity;hydrolase activity;zinc ion binding";null;null;null;null;null;null;null;null;GO:0005737
PF3D7_1010500;PF3D7_1010500.1;Plasmodium falciparum 3D7;ankyrin-repeat protein, putative;null;null;GO:0005515;protein binding;null;null;null;null;null;null;null;null;null
PF3D7_1011100;PF3D7_1011100.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;"cytoplasm;integral component of membrane;membrane";"GO:0005524;GO:0003723;GO:0008234;GO:0004519;GO:0004527;GO:0004386;GO:0016779;GO:0008233;GO:0008270";"ATP binding;RNA binding;cysteine-type peptidase activity;endonuclease activity;exonuclease activity;helicase activity;nucleotidyltransferase activity;peptidase activity;zinc ion binding";GO:0006508;proteolysis;null;null;null;null;null;null;"GO:0005737;GO:0016021;GO:0016020"
PF3D7_1012100;PF3D7_1012100.1;Plasmodium falciparum 3D7;conserved protein, unknown function;null;cytoplasm;GO:0005524;ATP binding;null;null;null;null;null;null;null;null;GO:0005737
PF3D7_1013000;PF3D7_1013000.1;Plasmodium falciparum 3D7;zinc finger protein, putative;null;null;GO:0005515;protein binding;null;null;GO:0071944;cell periphery;null;null;null;null;null
PF3D7_1013300;PF3D7_1013300.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;"integral component of membrane;membrane";null;null;null;null;null;null;null;null;null;null;"GO:0016021;GO:0016020"
PF3D7_1013500;PF3D7_1013500.1;Plasmodium falciparum 3D7;phosphoinositide-specific phospholipase C;PI-PLC;cell cortex;"GO:0004435;GO:0005543;GO:0008081;GO:0005515";"phosphatidylinositol phospholipase C activity;phospholipid binding;phosphoric diester hydrolase activity;protein binding";"GO:0032065;GO:0035556;GO:0006629;GO:0007165";"cortical protein anchoring;intracellular signal transduction;lipid metabolic process;signal transduction";null;null;"GO:0004435;GO:0004629";"phosphatidylinositol phospholipase C activity;phospholipase C activity";"GO:0035556;GO:0006644";"intracellular signal transduction;phospholipid metabolic process";GO:0005938
PF3D7_1014400;PF3D7_1014400.1;Plasmodium falciparum 3D7;MO15-related protein kinase;MRK;null;"GO:0005524;GO:0004672";"ATP binding;protein kinase activity";GO:0006468;protein phosphorylation;GO:0005634;nucleus;"GO:0004693;GO:0005515";"cyclin-dependent protein serine/threonine kinase activity;protein binding";"GO:0006468;GO:0051726";"protein phosphorylation;regulation of cell cycle";null
PF3D7_1014500;PF3D7_1014500.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;membrane;null;null;null;null;null;null;null;null;null;null;GO:0016020
PF3D7_1014600;PF3D7_1014600.1;Plasmodium falciparum 3D7;transcriptional coactivator ADA2;ADA2;null;"GO:0003677;GO:0008270";"DNA binding;zinc ion binding";null;null;"GO:0000123;GO:0005634";"histone acetyltransferase complex;nucleus";"GO:0003700;GO:0005515";"DNA-binding transcription factor activity;protein binding";GO:0006355;regulation of transcription, DNA-templated;null
PF3D7_1014700;PF3D7_1014700.1;Plasmodium falciparum 3D7;prohibitin 2, putative;PHB2;membrane;null;null;null;null;GO:0005739;mitochondrion;null;null;null;null;GO:0016020
PF3D7_1015300;PF3D7_1015300.1;Plasmodium falciparum 3D7;methionine aminopeptidase 1b, putative;METAP1b;null;"GO:0004177;GO:0008235";"aminopeptidase activity;metalloexopeptidase activity";GO:0006508;proteolysis;GO:0005634;nucleus;GO:0008235;metalloexopeptidase activity;GO:0006508;proteolysis;null
PF3D7_1015700;PF3D7_1015700.1;Plasmodium falciparum 3D7;tubulin binding cofactor c, putative;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_1016100;PF3D7_1016100.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;"cytoplasm;extracellular region;membrane";GO:0046872;metal ion binding;null;null;null;null;null;null;null;null;"GO:0005737;GO:0005576;GO:0016020"
PF3D7_1016600;PF3D7_1016600.1;Plasmodium falciparum 3D7;Plasmodium exported protein (PHISTc), unknown function;null;null;null;null;null;null;GO:0043657;host cell;null;null;null;null;null
PF3D7_1016800;PF3D7_1016800.1;Plasmodium falciparum 3D7;Plasmodium exported protein (PHISTc), unknown function;null;membrane;null;null;null;null;"GO:0020036;GO:0043657";"Maurer's cleft;host cell";null;null;null;null;GO:0016020
PF3D7_1017300;PF3D7_1017300.2;Plasmodium falciparum 3D7;golgi re-assembly stacking protein 2;GRASP;null;GO:0005515;protein binding;null;null;GO:0005794;Golgi apparatus;null;null;null;null;null
PF3D7_1017600;PF3D7_1017600.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;null;null;null;null;null;GO:0005634;nucleus;null;null;null;null;null
PF3D7_1018200;PF3D7_1018200.1;Plasmodium falciparum 3D7;serine/threonine protein phosphatase 8, putative;PPP8;null;"GO:0005509;GO:0016787";"calcium ion binding;hydrolase activity";null;null;"GO:0045178;GO:0005737;GO:0005634";"basal part of cell;cytoplasm;nucleus";null;null;null;null;null
PF3D7_1019100;PF3D7_1019100.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;cytoplasm;null;null;null;null;null;null;null;null;null;null;GO:0005737
PF3D7_1019500;PF3D7_1019500.2;Plasmodium falciparum 3D7;TMEM94 domain-containing protein, putative;null;null;GO:0000166;nucleotide binding;null;null;null;null;null;null;null;null;null
PF3D7_1019800;PF3D7_1019800.1;Plasmodium falciparum 3D7;tRNA methyltransferase, putative;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_1020000;PF3D7_1020000.1;Plasmodium falciparum 3D7;RNA-binding protein 34, putative;RBM34;null;GO:0003676;nucleic acid binding;null;null;null;null;null;null;null;null;null
PF3D7_1020300;PF3D7_1020300.1;Plasmodium falciparum 3D7;cytoplasmic dynein intermediate chain, putative;null;null;GO:0005515;protein binding;null;null;GO:0005868;cytoplasmic dynein complex;GO:0003777;microtubule motor activity;GO:0007018;microtubule-based movement;null
PF3D7_1020400;PF3D7_1020400.1;Plasmodium falciparum 3D7;rRNA (cytosine-C(5))-methyltransferase, putative;RCM1;null;GO:0008168;methyltransferase activity;null;null;GO:0005730;nucleolus;GO:0009383;rRNA (cytosine-C5-)-methyltransferase activity;null;null;null
PF3D7_1020800;PF3D7_1020800.1;Plasmodium falciparum 3D7;dihydrolipoamide acyltransferase component E2;DLAT;null;GO:0016746;transferase activity, transferring acyl groups;GO:0008152;metabolic process;"GO:0020011;GO:0016020;GO:0045254";"apicoplast;membrane;pyruvate dehydrogenase complex";"GO:0004742;GO:0004739";"dihydrolipoyllysine-residue acetyltransferase activity;pyruvate dehydrogenase (acetyl-transferring) activity";"GO:0006086;GO:0006633;GO:0006099";"acetyl-CoA biosynthetic process from pyruvate;fatty acid biosynthetic process;tricarboxylic acid cycle";null
PF3D7_1022500;PF3D7_1022500.1;Plasmodium falciparum 3D7;citrate synthase, mitochondrial, putative;CS;null;GO:0046912;transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer;null;null;GO:0005739;mitochondrion;GO:0004108;citrate (Si)-synthase activity;"GO:0046356;GO:0006101;GO:0006099";"acetyl-CoA catabolic process;citrate metabolic process;tricarboxylic acid cycle";null
PF3D7_1023000;PF3D7_1023000.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;null;null;null;null;null;GO:0045177;apical part of cell;null;null;null;null;null
PF3D7_1023100;PF3D7_1023100.1;Plasmodium falciparum 3D7;dynein heavy chain, putative;null;dynein complex;"GO:0005524;GO:0016887;GO:0003777";"ATP binding;ATPase activity;microtubule motor activity";GO:0007018;microtubule-based movement;null;null;"GO:0003777;GO:0003774";"microtubule motor activity;motor activity";GO:0007017;microtubule-based process;GO:0030286
PF3D7_1023600;PF3D7_1023600.1;Plasmodium falciparum 3D7;conserved protein, unknown function;null;cytoplasm;GO:0005524;ATP binding;null;null;null;null;null;null;null;null;GO:0005737
PF3D7_1024200;PF3D7_1024200.1;Plasmodium falciparum 3D7;RNA-binding protein, putative;null;null;GO:0003676;nucleic acid binding;null;null;null;null;null;null;null;null;null
PF3D7_1024600;PF3D7_1024600.1;Plasmodium falciparum 3D7;RAP protein, putative;null;"cytoplasm;membrane";GO:0005524;ATP binding;null;null;null;null;null;null;null;null;"GO:0005737;GO:0016020"
PF3D7_1024900;PF3D7_1024900.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;"membrane;nucleus";null;null;null;null;null;null;null;null;null;null;"GO:0016020;GO:0005634"
PF3D7_1025100;PF3D7_1025100.1;Plasmodium falciparum 3D7;glutamine--fructose-6-phosphate aminotransferase [isomerizing], putative;GFPT;null;"GO:0097367;GO:0004360";"carbohydrate derivative binding;glutamine-fructose-6-phosphate transaminase (isomerizing) activity";"GO:1901137;GO:1901135";"carbohydrate derivative biosynthetic process;carbohydrate derivative metabolic process";null;null;GO:0004360;glutamine-fructose-6-phosphate transaminase (isomerizing) activity;GO:0006041;glucosamine metabolic process;null
PF3D7_1025500;PF3D7_1025500.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;"cilium;cytoplasm;dynein complex;membrane;microtubule";"GO:0005524;GO:0016887;GO:0003777";"ATP binding;ATPase activity;microtubule motor activity";GO:0007018;microtubule-based movement;null;null;null;null;null;null;"GO:0005929;GO:0005737;GO:0030286;GO:0016020;GO:0005874"
PF3D7_1025600;PF3D7_1025600.1;Plasmodium falciparum 3D7;cytochrome c oxidase copper chaperone, putative;COX17;mitochondrial intermembrane space;"GO:0016531;GO:0005507";"copper chaperone activity;copper ion binding";GO:0006825;copper ion transport;null;null;null;null;null;null;GO:0005758
PF3D7_1025800;PF3D7_1025800.1;Plasmodium falciparum 3D7;conserved protein, unknown function;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_1026900;PF3D7_1026900.1;Plasmodium falciparum 3D7;biotin--protein ligase 1;HCS1;null;GO:0004077;biotin-[acetyl-CoA-carboxylase] ligase activity;GO:0006464;cellular protein modification process;GO:0005829;cytosol;GO:0004077;biotin-[acetyl-CoA-carboxylase] ligase activity;GO:0042966;biotin carboxyl carrier protein biosynthetic process;null
PF3D7_1027000;PF3D7_1027000.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;cytoplasm;null;null;null;null;null;null;null;null;null;null;GO:0005737
PF3D7_1027100;PF3D7_1027100.1;Plasmodium falciparum 3D7;U3 small nucleolar ribonucleoprotein protein MPP10, putative;MPP10;"Mpp10 complex;nucleus;small nucleolar ribonucleoprotein complex";null;null;GO:0006364;rRNA processing;null;null;null;null;null;null;"GO:0034457;GO:0005634;GO:0005732"
PF3D7_1027400;PF3D7_1027400.1;Plasmodium falciparum 3D7;DNA-directed RNA polymerase II subunit RPB7, putative;RPB7;null;"GO:0003899;GO:0003676";"DNA-directed 5'-3' RNA polymerase activity;nucleic acid binding";GO:0006351;transcription, DNA-templated;GO:0005634;nucleus;GO:0003968;RNA-directed 5'-3' RNA polymerase activity;GO:0006367;transcription initiation from RNA polymerase II promoter;null
PF3D7_1027700;PF3D7_1027700.2;Plasmodium falciparum 3D7;centrin-3;CEN3;null;GO:0005509;calcium ion binding;null;null;null;null;null;null;null;null;null
PF3D7_1027800;PF3D7_1027800.1;Plasmodium falciparum 3D7;60S ribosomal protein L3;RPL3;"intracellular;ribosome";GO:0003735;structural constituent of ribosome;GO:0006412;translation;"GO:0022625;GO:0005622;GO:0005634";"cytosolic large ribosomal subunit;intracellular;nucleus";GO:0003735;structural constituent of ribosome;GO:0006412;translation;"GO:0005622;GO:0005840"
PF3D7_1029000;PF3D7_1029000.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function, pseudogene;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_1029100;PF3D7_1029100.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;membrane;null;null;null;null;null;null;null;null;null;null;GO:0016020
PF3D7_1029100;PF3D7_1029100.2;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_1029700;PF3D7_1029700.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;"membrane;nucleus";GO:0008270;zinc ion binding;null;null;null;null;null;null;null;null;"GO:0016020;GO:0005634"
PF3D7_1029800;PF3D7_1029800.1;Plasmodium falciparum 3D7;heptatricopeptide repeat and RAP domain-containing protein, putative;HPR2;null;null;null;null;null;GO:0005739;mitochondrion;null;null;null;null;null
PF3D7_1030000;PF3D7_1030000.1;Plasmodium falciparum 3D7;transcription elongation factor SPT4, putative;SPT4;nucleus;GO:0008270;zinc ion binding;"GO:0032786;GO:0006355";"positive regulation of DNA-templated transcription, elongation;regulation of transcription, DNA-templated";GO:0005634;nucleus;"GO:0005515;GO:0000182";"protein binding;rDNA binding";"GO:0000398;GO:0006355";"mRNA splicing, via spliceosome;regulation of transcription, DNA-templated";GO:0005634
PF3D7_1030500;PF3D7_1030500.1;Plasmodium falciparum 3D7;26S proteasome regulatory subunit RPN9, putative;RPN9;null;null;null;null;null;"GO:0005634;GO:0005838";"nucleus;proteasome regulatory particle";GO:0004175;endopeptidase activity;GO:0006511;ubiquitin-dependent protein catabolic process;null
PF3D7_1030700;PF3D7_1030700.1;Plasmodium falciparum 3D7;RNA methyltransferase, putative;null;null;"GO:0003723;GO:0008173";"RNA binding;RNA methyltransferase activity";GO:0006396;RNA processing;null;null;null;null;null;null;null
PF3D7_1031100;PF3D7_1031100.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;cytoplasm;null;null;null;null;null;null;null;null;null;null;GO:0005737
PF3D7_1031400;PF3D7_1031400.1;Plasmodium falciparum 3D7;OTU-like cysteine protease;OTU;null;null;null;null;null;"GO:0020011;GO:0005829;GO:0031982";"apicoplast;cytosol;vesicle";GO:0008233;peptidase activity;GO:1903060;negative regulation of protein lipidation;null
PF3D7_1031400;PF3D7_1031400.2;Plasmodium falciparum 3D7;OTU-like cysteine protease;OTU;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_1032300;PF3D7_1032300.1;Plasmodium falciparum 3D7;conserved protein, unknown function;null;membrane;null;null;null;null;null;null;null;null;null;null;GO:0016020
PF3D7_1032600;PF3D7_1032600.1;Plasmodium falciparum 3D7;conserved protein, unknown function;null;"integral component of membrane;membrane";null;null;null;null;null;null;null;null;null;null;"GO:0016021;GO:0016020"
PF3D7_1033000;PF3D7_1033000.1;Plasmodium falciparum 3D7;heptatricopeptide repeat-containing protein HPR1, putative;HPR1;null;null;null;null;null;GO:0005739;mitochondrion;GO:0003723;RNA binding;null;null;null
PF3D7_1033300;PF3D7_1033300.1;Plasmodium falciparum 3D7;conserved protein, unknown function;null;null;null;null;null;null;GO:0005634;nucleus;null;null;null;null;null
PF3D7_1033500;PF3D7_1033500.1;Plasmodium falciparum 3D7;WD repeat-containing protein 70, putative;WDR70;null;GO:0005515;protein binding;null;null;null;null;null;null;null;null;null
PF3D7_1033600;PF3D7_1033600.1;Plasmodium falciparum 3D7;pre-mRNA-splicing factor CEF1, putative;CEF1;null;GO:0003677;DNA binding;null;null;"GO:0000974;GO:0071006;GO:0005634";"Prp19 complex;U2-type catalytic step 1 spliceosome;nucleus";GO:0005515;protein binding;GO:0000398;mRNA splicing, via spliceosome;null
PF3D7_1034200;PF3D7_1034200.1;Plasmodium falciparum 3D7;ribosomal protein L27, putative;RPL27;"intracellular;ribosome";GO:0003735;structural constituent of ribosome;GO:0006412;translation;GO:0020011;apicoplast;GO:0003735;structural constituent of ribosome;GO:0006412;translation;"GO:0005622;GO:0005840"
PF3D7_1034500;PF3D7_1034500.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;"cytoplasm;membrane";"GO:0005524;GO:0005488;GO:0017111";"ATP binding;binding;nucleoside-triphosphatase activity";"GO:0019538;GO:0006950";"protein metabolic process;response to stress";null;null;null;null;null;null;"GO:0005737;GO:0016020"
